Title: THE FINAL MOVEMENT PT 5
Video ID: WcI9NAA6qH0
URL: https://www.youtube.com/watch?v=WcI9NAA6qH0
--------------------------------------------------

FULL TRANSCRIPT:
[Music] [Music] hey foreign [Music] [Music] [Music] [Laughter] [Laughter] [Music] [Music] yes [Music] [Applause] [Music] yes foreign panda [Music] [Laughter] foreign i foreign [Music] foreign foreign [Music] [Music] foreign hey [Music] [Music] foreign [Music] [Music] [Music] m [Music] foreign [Music] foreign foreign foreign what is foreign [Music] foreign foreign foreign foreign [Music] yes [Music] [Music] [Music] foreign [Music] foreign [Music] foreign [Music] foreign [Music] [Music] foreign [Music] [Applause] foreign [Music] foreign [Music] [Music] foreign [Music] foreign [Music] [Music] [Music] [Applause] [Applause] foreign [Music] [Applause] [Music] [Music] [Music] foreign exchange [Music] and foreign yep [Applause] token yes hey now foreign 

==================================================

TIMESTAMPED TRANSCRIPT:
[1.2s] [Music]
[22.6s] [Music]
[38.7s] hey
[51.3s] foreign
[75.5s] [Music]
[92.2s] [Music]
[107.2s] [Music]
[128.7s] [Laughter]
[138.9s] [Laughter]
[186.7s] [Music]
[192.2s] [Music]
[224.4s] yes
[226.6s] [Music]
[231.6s] [Applause]
[243.5s] [Music]
[251.3s] yes
[261.1s] foreign
[281.1s] panda
[285.0s] [Music]
[314.1s] [Laughter]
[335.5s] foreign
[351.8s] i
[376.9s] foreign
[380.2s] [Music]
[419.4s] foreign
[457.8s] foreign
[476.5s] [Music]
[485.7s] [Music]
[545.4s] foreign
[558.2s] hey
[572.2s] [Music]
[580.8s] [Music]
[585.9s] foreign
[592.5s] [Music]
[616.2s] [Music]
[630.5s] [Music]
[644.7s] m
[674.6s] [Music]
[719.8s] foreign
[724.5s] [Music]
[736.3s] foreign
[753.2s] foreign
[775.3s] foreign
[799.4s] what
[840.5s] is
[846.2s] foreign
[862.0s] [Music]
[881.4s] foreign
[896.6s] foreign
[903.5s] foreign
[916.6s] foreign
[922.5s] [Music]
[947.6s] yes
[965.0s] [Music]
[975.5s] [Music]
[1017.9s] [Music]
[1133.7s] foreign
[1135.4s] [Music]
[1158.1s] foreign
[1165.6s] [Music]
[1173.3s] foreign
[1208.3s] [Music]
[1218.2s] foreign
[1225.3s] [Music]
[1244.9s] [Music]
[1258.9s] foreign
[1266.7s] [Music]
[1279.2s] [Applause]
[1288.2s] foreign
[1294.8s] [Music]
[1298.8s] foreign
[1320.1s] [Music]
[1339.0s] [Music]
[1344.6s] foreign
[1347.8s] [Music]
[1366.9s] foreign
[1381.0s] [Music]
[1420.4s] [Music]
[1465.9s] [Music]
[1470.1s] [Applause]
[1481.3s] [Applause]
[1511.6s] foreign
[1516.4s] [Music]
[1545.5s] [Applause]
[1546.5s] [Music]
[1571.9s] [Music]
[1579.2s] [Music]
[1582.1s] foreign
[1596.6s] exchange
[1599.8s] [Music]
[1616.7s] and
[1661.7s] foreign
[1707.3s] yep
[1719.8s] [Applause]
[1728.8s] token
[1740.2s] yes
[1806.6s] hey
[1814.7s] now
[1832.2s] foreign
