Title: OUR DUTY IN THE JUDGMENT DAY. PART 1
Video ID: AyiSYKQMaWk
URL: https://www.youtube.com/watch?v=AyiSYKQMaWk
--------------------------------------------------

FULL TRANSCRIPT:
[Music] [Music] we [Music] foreign [Music] [Music] [Music] [Applause] [Music] [Music] foreign [Music] in [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] um [Music] [Music] present [Music] [Music] [Music] [Music] foreign [Music] foreign [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] october 22 18 44. [Music] second [Applause] [Music] [Music] here [Music] [Music] foreign [Music] uh [Music] [Music] [Music] foreign [Music] foreign [Music] [Music] is [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] judgment hall is [Music] foreign [Music] [Music] [Music] [Music] honor [Music] luke 19 verse 12 sorry israelites day of atonement [Music] [Music] yes [Music] [Music] [Music] [Music] goku [Music] foreign [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] m [Music] [Music] foreign [Music] [Music] foreign [Music] [Music] oh [Music] [Music] [Music] [Music] the president [Music] foreign [Music] [Music] it is the platform of truth the first second and third angels messages [Music] [Music] foreign we belong to the family of christians that profess the trinitarian god when i say my powers [Music] is [Music] foreign [Music] [Music] [Music] [Music] them [Music] [Music] i saw a company who stood well guarded and farmed giving no countenance to those who unsettled the established faith of the body i was shown three steps who are too unhappy first second and third angels messages said my accompanying angel malai kawangua kanyamiya woe unto him that shall move upload or appear or opinion [Music] of these messages their true understanding their true understanding is vital the destiny of souls hands upon the manner in which they are presented and received [Music] i was again brought down through these messages and i saw how dearly the people of god had purchased their experiences it had been obtained through my suffering and severe conflict i saw people approach the platform your platform and they begin to find fault with the foundation there some said it was late wrongly [Music] [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] is [Music] [Music] took on a new organization the fundamental principles that have sustained the work for the past 50 years would be accounted us a new organization would be established [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] they had a holy convocation holy convocation yakuanza [Music] [Music] walk at any bigger where's it behavior you're wrong i wish i can [Music] ah you can abandon [Music] [Music] [Music] say [Music] my [Music] [Music] [Music] [Music] [Music] me [Music] in [Music] district [Music] [Music] [Music] foreign [Music] video okay [Music] [Music] afflicting [Music] [Music] [Music] [Music] [Music] [Music] [Music] we are in a holy fasting day as we afflict ourselves that we made radical that we may seek the right way from the lord for us and our children [Music] in the time of afflicting their souls they were also [Music] [Music] you cannot know the true way of the lord for you and your children your family is [Music] [Music] [Music] [Music] but it's the inability to never find your screen amen [Music] fungi two plus [Music] 

==================================================

TIMESTAMPED TRANSCRIPT:
[2.3s] [Music]
[15.3s] [Music]
[28.8s] we
[34.1s] [Music]
[41.2s] foreign
[43.5s] [Music]
[56.0s] [Music]
[61.4s] [Music]
[62.2s] [Applause]
[69.3s] [Music]
[83.1s] [Music]
[97.7s] foreign
[99.2s] [Music]
[126.9s] in
[129.8s] [Music]
[138.1s] [Music]
[144.6s] [Music]
[159.0s] [Music]
[169.1s] [Music]
[191.7s] [Music]
[202.2s] [Music]
[225.0s] [Music]
